Nume,Plastic,Hartie,Carti,Sticla,Metal,Haine,Electronice,Electrocasnice,Ochelari,Baterii,Vapes,Vopsea,Automobile,Antigel,Ulei,Moloz,Telefon,ZileLucrate,Program,Adresa,Latitudine,Longitudine,Descriere
Green Global Future,Da,Da,Nu,Da,Da,Nu,Da,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,0213.201.565,Luni Marti Miercuri Joi Vineri,08:00-17:00,Str. Oxigenului 8 Chitila 077045,44.504208,25.969374,a
Green Global Future,Da,Da,Nu,Da,Da,Nu,Da,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,0764.000.472,Luni Marti Miercuri Joi Vineri,08:00-17:00,Intrarea Abatorului 9 Glina 077105,44.375958,26.231455,a
MOL,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,0371.000.357,Luni Marti Miercuri Joi Vineri Sambata Duminica,24H,Sos. Bucuresti-Ploiesti 127C Otopeni 013686,44.527981,26.070119,a
MOL,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,0371.000.011,Luni Marti Miercuri Joi Vineri Sambata Duminica,24H,Sos. Fundeni 161 Bucuresti 022315,44.463611,26.153199,a
MOL,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,0371.000.012,Luni Marti Miercuri Joi Vineri Sambata Duminica,24H,Sos. Postavarului 24 Bucuresti 032425,44.415771,26.196641,a
MOL,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,0371.000.016,Luni Marti Miercuri Joi Vineri Sambata Duminica,24H,Str. Turnu Magurele 110-112 Bucuresti 041712,44.375819,26.118819,a
MOL,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,0371.000.112,Luni Marti Miercuri Joi Vineri Sambata Duminica,24H,Calea 13 Septembrie 204-206A Bucuresti 050734,44.420897,26.065146,a
MOL,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,0371.000.029,Luni Marti Miercuri Joi Vineri Sambata Duminica,24H,Str. Iuliu Maniu 15B Bucuresti 061075,44.434248,26.041579,a
Recycle International,Da,Da,Nu,Da,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,0788.872.888,Luni Marti Miercuri Joi Vineri,08:00-17:00,Sos. Alexandriei 229 Bragadiru 077025,44.372098,25.982461,a
Recycle International,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0785.281.070,Luni Marti Miercuri Joi Vineri,08:00-17:00,Sos. Pantelimon 300 Bucuresti 021655,44.442374,26.166518,a
Chimice-Periculoase Sector 3,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Da,Nu,Nu,0774.060.606,Luni Marti Miercuri Joi Vineri,08:00-17:00,Str. Constantin Brancusi 23-17 Bucuresti 030426,44.430057,26.165262,a
Spending Elements Best Selection S.R.L,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,0786.533.556,Luni Marti Miercuri Joi Vineri,10:00-18:00,Str. Giurgiului 269 1 Decembrie 077005,44.282947,26.059874,a
Remat Militari,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,0214.341.029,Luni Marti Miercuri Joi Vineri,07:30-16:00,Str. Barsanesti 44 Bucuresti 077042,44.430361,26.008185,a
Centru de Colectare Fier Vechi,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,0728.559.659,Luni Marti Miercuri Joi Vineri Sambata Duminica,09:00-19:00,Sos. Colentina 409 Bucuresti 021194,44.474399,26.156253,a
Hornbach Militari,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Da,Nu,Da,Nu,Nu,Nu,Nu,0310.805.283,Luni Marti Miercuri Joi Vineri Sambata Duminica,08:00-21:00,Str. Hornbach 1 Domnesti 088090,44.435281,25.959151,a
Smokemania,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,0215.552.2352,Luni Marti Miercuri Joi Vineri Sambata Duminica,09:00-20:00,Str. Barbu Vacarescu 13 Bucuresti 020271,44.453922,26.104818,a
Vuse Go,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,0771.695.264,Luni Marti Miercuri Joi Vineri Sambata Duminica,09:00-21:00,Str. Liviu Rebreanu 6a Bucuresti 032474,44.424591,26.161122,a
Kaufland,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,0800.080.888,Luni Marti Miercuri Joi Vineri,07:00-22:00,Str. Popa Nan 82 Bucuresti 030584,44.433446,26.124421,a
Kaufland,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,0800.080.888,Luni Marti Miercuri Joi Vineri Sambata Duminica,07:00-22:00,Bd. 1 Mai 55 Bucuresti 061629,44.417956,26.038931,a
Lensa,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0371.525.777,Luni Marti Miercuri Joi Vineri Sambata Duminica,09:00-21:00,Bd. Iuliu Maniu 18g Bucuresti 061087,44.434171,26.036181,a
Lensa,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0371.525.777,Luni Marti Miercuri Joi Vineri,09:00-21:00,Calea Floreasca 246B Bucuresti 014476,44.478274,26.104146,a
eColectare,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0742.568.092,Luni Marti Miercuri Joi Vineri,10:00-17:00,Str. Pavel Ceamur Popesti-Leordeni 077160,44.367671,26.178568,a
Environ,Nu,Nu,Nu,Nu,Nu,Nu,Da,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0318.270.000,Luni Marti Miercuri Joi Vineri,09:00-17:30,Str. Aromei 88 Bucuresti 023786,44.465001,26.114586,a
H&M,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0314.470.820,Luni Marti Miercuri Joi Vineri Sambata Duminica,10:00-22:00,Bd. Timisoara 26 Bucuresti 061331,44.429045,26.033649,a
H&M,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0314.370.857,Luni Marti Miercuri Joi Vineri Sambata Duminica,10:00-22:00,Piata Unirii 1 Bucuresti 030119,44.427476,26.104263,a
H&M,Nu,Nu,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0314.260.752,Luni Marti Miercuri Joi Vineri Sambata Duminica,10:00-22:00,Str. Vacaresti 391 Bucuresti 040055,44.394014,26.122854,a
Anticariat Galeriile Cismigiu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0741.234.549,Luni Marti Miercuri Joi Vineri,11:00-19:00,Str. Ion Brezoianu 29 Bucuresti 010131,44.436273,26.094614,a
Targul Cartii,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0213.081.776,Luni Marti Miercuri Joi Vineri Sambata Duminica,09:00-21:00,Bd. Gheorghe Sincai 1-1A Bucuresti 040311,44.414915,26.104594,a
Green Glass,Nu,Nu,Nu,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0213.611.983,Luni Marti Miercuri Joi Vineri,08:00-17:00,Sos. Oltenitei 181 Popesti-Leordeni 077160,44.368187,26.196352,a
Lion Recycle,Da,Da,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,Nu,0770.489.065,Luni Marti Miercuri Joi Vineri,08:00-17:00,Str. Preciziei 7 Bucuresti 622022,44.430384,25.986271,a
